persona,user_key,stage,hit_rate_at_20,ndcg_at_20,recall_at_20,recall_at_50,category_affinity,intra_list_diversity,novelty,latency_ms,latency_p95_ms,coverage
重点单一兴趣,1bca71c0959b41df25573fbea899f658474f3a08668ec152778f99a8eabbc676,before,0.3333333333333333,0.09635494210596263,0.3333333333333333,0.3333333333333333,0.8000000000000002,0.6894736842105263,11.996569907234727,2.357166667934507,6.084680001004016,0.012136697540721815
重点单一兴趣,1bca71c0959b41df25573fbea899f658474f3a08668ec152778f99a8eabbc676,after,0.0,0.0,0.0,0.0,0.6999999999999998,0.7526315789473684,12.105878430364045,0.1322666673028531,0.17163999982585665,0.011178537208559566
多兴趣,e0e3ee66bd4561a1fa9fedddd2eed1e0b0af49133bfb549acfbc87a674d97e71,before,0.0,0.0,0.0,0.0,0.9,0.7526315789473684,12.500425670379792,0.1566333327597628,0.22864999918965623,0.012136697540721815
多兴趣,e0e3ee66bd4561a1fa9fedddd2eed1e0b0af49133bfb549acfbc87a674d97e71,after,0.0,0.0,0.0,0.0,0.9,0.7578947368421053,12.48072883624998,0.13423333439277485,0.17123000034189317,0.011178537208559566
只加购未购买,000a9d40fce8c24aca432ff2ec1d05f6c77b3d1c82956987d2f6e2fb4e83a46e,before,0.0,0.0,0.0,0.0,0.8000000000000002,0.6684210526315789,12.60297204627517,0.15293333368996778,0.2023500004725065,0.012136697540721815
只加购未购买,000a9d40fce8c24aca432ff2ec1d05f6c77b3d1c82956987d2f6e2fb4e83a46e,after,0.0,0.0,0.0,0.0,0.75,0.7315789473684212,12.168823663260705,0.12730000162264332,0.16100000248115975,0.011178537208559566
价格敏感,ad52ba7e2e3a41cede5c7d6296d703770592cfdd8b7d511628db11a0f3250ed9,before,0.0,0.0,0.0,0.0,0.3,0.7789473684210527,12.638454927036378,0.15073333391531682,0.20029000261274632,0.012136697540721815
价格敏感,ad52ba7e2e3a41cede5c7d6296d703770592cfdd8b7d511628db11a0f3250ed9,after,0.0,0.0,0.0,0.0,0.3,0.8052631578947368,12.342019840285557,0.12683333382786563,0.16145000045071356,0.011178537208559566
冷启动,13ae55fcf51e8501d6238bcd0e1a5a5b40c1d16c7182c0a09dd537a91d2d0c15,before,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,12.877503703823043,0.0713333332290252,0.11494999926071614,0.012136697540721815
冷启动,13ae55fcf51e8501d6238bcd0e1a5a5b40c1d16c7182c0a09dd537a91d2d0c15,after,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,12.83650866205821,0.03369999952459087,0.03623999873525463,0.011178537208559566
