model,cohort,users,eligible_users,no_positive_users,raw_ndcg_at_20,raw_recall_at_50,ndcg_at_20,recall_at_50,hit_rate_at_20,category_violations,short_lists,latency_p95_ms,model_version,coverage_at_20
previous_after,all,7581,7541,0,0.003279531074245132,0.03779404651980829,0.0032993462340092333,0.038270786367855726,0.014454316403659993,0,0,7.493600000088918,trade-20260906065816234951-6f240414-4f63f5f4,0.7488022995847972
previous_after,cold,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5.459500000870321,,
previous_after,sparse,770,768,0,0.005107345721496539,0.042748917748917745,0.005120646100979603,0.04286024305555555,0.01953125,0,0,7.566375000533297,,
previous_after,warm,6806,6768,0,0.003075149701483986,0.03726124008228034,0.0030951113689585245,0.03777827029156816,0.013888888888888888,0,0,7.475824999801262,,
popular,all,7581,7541,0,0.002569148982928651,0.014998021369212505,0.0025856950893359066,0.015221235026300668,0.011404323034080361,0,0,8.855099998982041,trade-20260906064730150008-6f240414-4f63f5f4:popular_quota,0.003992334717342702
popular,cold,10,10,0,0.0,0.05,0.0,0.05,0.0,0,0,7.4806350005928826,,
popular,sparse,765,763,0,0.0015487289759056157,0.013660130718954248,0.00155278855382411,0.013695937090432502,0.007863695937090432,0,0,8.776719999877969,,
popular,warm,6806,6768,0,0.002687619860860169,0.015096973258889215,0.0027059617319908796,0.015341804570527974,0.01182033096926714,0,0,8.862474998750258,,
before,all,7581,7541,0,0.0031893812786770712,0.03356417359187442,0.0032420077346773323,0.03415108517880033,0.014189099588913937,0,0,8.162899999661022,trade-20260906064730150008-6f240414-4f63f5f4,0.7687639731715107
before,cold,10,10,0,0.0,0.0,0.0,0.0,0.0,0,0,7.511390000126992,,
before,sparse,765,763,0,0.002639479373066588,0.02888888888888889,0.002646398060807261,0.028964613368283095,0.014416775884665793,0,0,8.079380000344827,,
before,warm,6806,6768,0,0.0032558768370929973,0.034138995004407875,0.003313944829610789,0.03478624901497242,0.014184397163120567,0,0,8.174675000645948,,
seed_20260917,all,7581,7541,0,0.005713945802981343,0.04640894215488596,0.0057495762135394615,0.04686507410284098,0.02081951995756531,0,0,12.050299999827985,trade-20260908070431966489-6f240414-4f63f5f4:seed-20260917,0.7748323219418716
seed_20260917,cold,10,10,0,0.02626495350371936,0.1,0.02626495350371936,0.1,0.1,0,0,11.215274999267415,,
seed_20260917,sparse,765,763,0,0.00416586807977801,0.045119825708061,0.004176787786409145,0.04523809523809524,0.01703800786369594,0,0,12.004900000101768,,
seed_20260917,warm,6806,6768,0,0.005857755585708814,0.0464750990022809,0.005896574410495524,0.046969984802431614,0.02112884160756501,0,0,12.050449999605917,,
seed_20261001,all,7581,7541,0,0.006238544054497358,0.04631220909416398,0.006285366737378082,0.046818661160260414,0.02121734517968439,0,0,11.898300001121243,trade-20260908070431966489-6f240414-4f63f5f4:seed-20261001,0.8096454806771
seed_20261001,cold,10,10,0,0.03868528072345416,0.1,0.03868528072345416,0.1,0.1,0,0,8.404475000588716,,
seed_20261001,sparse,765,763,0,0.005022203882309432,0.05006535947712418,0.005035368243730951,0.050851900393184796,0.01834862385321101,0,0,11.845000000539585,,
seed_20261001,warm,6806,6768,0,0.006327587966491803,0.04581146887200369,0.006378414862495103,0.04628539063379489,0.02142434988179669,0,0,11.906324999927165,,
after,all,7581,7541,0,0.006813773727438586,0.04905716672633966,0.006853312365743425,0.04961133107267572,0.025328205808248242,0,0,10.942500000965083,trade-20260908070431966489-6f240414-4f63f5f4,0.7077610986905142
after,cold,10,10,0,0.027023815442731976,0.1,0.027023815442731976,0.1,0.1,0,0,10.731140000007143,,
after,sparse,765,763,0,0.007629074805783363,0.05263616557734205,0.0076490723806346955,0.0527741371778069,0.028833551769331587,0,0,11.015299999417037,,
after,warm,6806,6768,0,0.00669243876680287,0.04858003442340792,0.0067337984883598665,0.04918031633457165,0.024822695035460994,0,0,10.923200000434008,,
